Set,Model,Accuracy,Avg Sensitivity,Max Sensitivity,SensitivityN,Faithfulness Correlation,Sparseness,Complexity,Effective Complexity,MPRT,eMPRT
7,resnet,65.4,2.179626793533564,2.1816860073804856,-0.0505443327128887,0.0190459477434342,0.6610460886806936,11.591762816905977,205290.0825,5.239764069281017e-06,-1.7112179698830523e-08
7,resnet,68.1,2.306111431241036,2.308217627257109,-0.1906174272298813,0.0107841776761051,0.6842883516026071,11.50327897787094,198448595,1.897263551805704e-07,-1.0973711619212563e-09
7,resnet,72.6,2.3854098874628544,2.387601975798607,-0.0764179602265358,0.0210764811349508,0.6960548093096329,11.460263483524322,197387.8075,-4.350495503554415e-06,-1.851697444538577e-07
7,resnet,76.7,2.6033095199465754,2.605837806016207,0.1387024372816085,0.0236117917796946,0.7310101660547232,11.32804354906082,183618685,-8.321957287472398e-06,9.418698833441647e-08
7,resnet,80.3,2.783505804359913,2.7860487622022627,0.009329417720437,0.0161360068544308,0.7626961968539537,11.196389009952544,175418.0575,-4.307208041082431e-07,-1.2242276319002358e-07
7,vgg,8.9,0.9641851209253072,0.9651915899664164,-0.1307893246412277,-0.031865205343056,0.373841489390236,12.09320118188858,223376.5475,-2.1044449963913e-05,-1.0953712807799679e-07
7,vgg,20.0,1.4659355228692297,1.467470952346921,0.1727481037378311,0.0245081463603128,0.5298356332803212,11.830951001644134,191959905,3.1587622387555684e-06,-6.14474949245826e-08
7,vgg,31.9,2.3422338612526654,2.3446133229136468,0.06090022996068,0.0278054590677493,0.6596671409826778,11.440473707914352,152255.0,5.226572228277511e-06,4.487610023390787e-08
7,vgg,44.3,3.848340851724148,3.851880958080292,-0.0715545043349266,0.0299717380932997,0.7822138419267199,10.858413285017011,109135.4525,1.1079984726074218e-05,-3.8901763464680733e-08
7,vgg,51.1,5.139616878420115,5.1444937735795975,-0.0047715869732201,0.0192433031855034,0.838392503515111,10.419712073802948,83780.99,-1.0066296007167428e-06,7.050903347595183e-09
7,vgg,58.9,6.174730733960867,6.180437588542699,0.2054361402988433,0.0184351997137127,0.8457519324733752,10.075125266313552,73927.21,2.826371190352225e-05,2.544466131182645e-07
7,vgg,65.9,7.445132800132036,7.451488411426544,-0.0563759915530681,0.0170964510583144,0.8304768900511803,9.783522604703904,73277.41,4.8840130332317485e-06,9.54287284086023e-08
7,vgg,70.6,7.32536935082078,7.332189763337373,0.1141391769051551,0.0033533754576637,0.7632903872247616,9.915194947719574,94099.3475,1.328208004269912e-05,1.0721005477410677e-07
7,vgg,76.4,6.036272393107414,6.041931180357933,0.1686842888593673,0.0006105239980388,0.7260413488025868,10.261195574998856,108103515,1.8400157309401748e-05,-1.080980438183691e-07
7,vgg,79.2,7.325232900440692,7.331599198728799,0.1519759893417358,0.0080599450095905,0.833011787006039,9.635919179916382,72311.91,-2.4167452447788596e-05,5.04271934931615e-08
